Title;Labels;Description;Assignee
A.09.TGR9.feedid, A.21.TGR22.datasetFeedId;type:CT,sev:Minor,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Strictly, the test differs from the requirement. The requirement is not that the id is the same the feed URI provided, but that the id resolves to the same document.
";emidiostani
A.10.IR221.TGR10.rightselement;type:ED,sev:Minor,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Regarding note 1, the requirement is clear that only /feed/rights is covered.
# Proposed Change
Remove note 1.";emidiostani
A.11.IR221.TGR11.updatedelement,  A.18.TGR19.entryUpdated and A.23.IR221.TGR24.datasetFeedUpdated;type:ED,sev:medium,ms:NL,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Both tests check for validity of a date, but in a different way. 
# Proposed Change
Use the same way to check if a date is valid. NL prefers A.18.TGR19.entryUpdated (and A.23.IR221.TGR24.datasetFeedUpdated), so add to  A.11.IR221.TGR11.updatedelement to check on a valid date with 'year-from-dateTime(xs:dateTime(atom:updated))'
";emidiostani
A.11.IR221.TGR11.updatedelement,  A.18.TGR19.entryUpdated and A.23.IR221.TGR24.datasetFeedUpdated;type:ED,sev:medium,ms:NL,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Both tests check for validity of a date, but in a different way. 
# Proposed Change
Use the same way to check if a date is valid. NL prefers A.18.TGR19.entryUpdated (and A.23.IR221.TGR24.datasetFeedUpdated), so add to  A.11.IR221.TGR11.updatedelement to check on a valid date with 'year-from-dateTime(xs:dateTime(atom:updated))'
";emidiostani
A.11.IR221.TGR11.updatedelement, A.23.IR221.TGR24.datasetFeedUpdated;type:CT,sev:Medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
'... or too far in the past' is vague for testing.
# Proposed Change
Change to '... or before 2012 (first release of the Technical Guidance)'?";emidiostani
A.12.IR221.TGR12.contactinformation, A.24.IR221.TGR25.datasetFeedContactinformation;type:CT,sev:Medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Unresolved issue: 'A regular expression could be used to validate the email address. Several regular expressions are available; the workgroup could choose one.'
# Proposed Change
Delete or resolve.";emidiostani
A.13.IR221.TGR13.datasetidentifiers;type:CT,sev:Medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
„the dataset identifier code and dataset identifier namespace must be present in the metadata document of the service' is too vague. What does „be present' mean? Included somewhere in the document or in specific elements?
# Proposed Change
Clarify.";emidiostani
A.14.IR221.TGR14.linksToDatasetMetadata;type:CT,sev:Medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Same issue as with A.13.IR221.TGR13.datasetidentifiers ('present in the metadata document of the service and in the Download Service feed'). What does present mean?
# Proposed Change
Clarify.";emidiostani
A.14.IR221.TGR14.linksToDatasetMetadata;type:CT,sev:Medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
gmd:identificationInfo[1]/*/gmd:citation/*/gmd:identifier may refer to multiple nodes.

# Proposed Change
Clarify how to deal with multiple identifiers in the test.";emidiostani
A.14.IR221.TGR14.linksToDatasetMetadata;type:CT,sev:Medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
gmd:identificationInfo[1]/*/gmd:citation/*/gmd:identifier may be gmd:MD_Identifier, RS_Identifier or some other element.
# Proposed Change
Clarify how to compare identifiers that use different data types.";emidiostani
A.15;type:CR,sev:critical,ms:DE,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The Attribute: type=""application/Atom+xml"" is required. If this Attribute is part of the link-tag the link does not work in the Internet Explorer! The examples for INSPIRE-Atom-Feed contain the type-Attribute in the link-tag, too. And also it does not work in IE. That not the sense of interoperability. If the type-Attribute will delete the link work in the IE.
# Proposed Change
Cancel the test Attribute type in the link-tag and Change the requirement.";emidiostani
A.15;type:GE,sev:Minor,ms:AT,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Browser problems for IE 11 if type=""application/atom+xml"" is included in link (browser shows no link). 
";emidiostani
A.18.TGR19.entryUpdated;type:CT,sev:Medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Why is the updated test different from A.11.IR221.TGR11.updatedelement? (Any year will work here.)
# Proposed Change
Consider aligning tests.";emidiostani
A.25.IR31.TGR26.datasetFeedDownloadLink, A.28.IR31.TGR29.datasetFeedDownloadLinkDetails;type:CT,sev:Medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
These seem to overlap significantly.
# Proposed Change
Consider to merge both test cases.";emidiostani
A.26.IR313.TGR27.separateEntriesCRSFormat;type:CT,sev:Medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
'Find and retrieve the all the Download Service Feed documents containing an entry pointing to this Dataset Feed'.
Why 'all' the Download Service feed documents? As the test object is 'a' Download Service this test should only check the feed of the Download Service under test.
Consistent with this, the Download Service feed document accessed earlier must be used not any other feed document.
# Proposed Change
'For each category element in the Download Service feed entity, which included the link to the Dataset feed document, check that at least one entry exists in the Dataset feed containing a category element with an identical term attribute.'
";emidiostani
A.29.IR311.TGR31.languageForDownloadLink;type:CT,sev:Medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Unresolved issue: 'Is the hreflang attribute still mandatory if data in only 1 language is provided? If not, this ATS is not automatically testable and the ATS should be removed.'
# Proposed Change
Clarify. ";emidiostani
A.34.IR222.TGR39.provideOpenSearchDescription ;type:GE,sev:Minor,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
This test case is not referenced from the overview and not testable.
# Proposed Change
Remove test case.";emidiostani
"A.36.TGR41.openSearchGenericSearchQueries,
A.37.IR4.TGR42.openSearchUrlDescribeSpatialDataset";type:CT,sev:Medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
„test if it provides a document with content-type xxx'' is vague. Is this a test on the HTTP header of the response or in some way a test of the response.

# Proposed Change
Clarify. Probably a test on the HTTP header of the response is meant.";emidiostani
A.39.IR3.IR4.TGR44.openSearchQueryExample;type:CT,sev:Minor,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
valid HTTP codes: '200,206,301,303,303'
# Proposed Change
Change first 303 to 302.";emidiostani
Maybe a test for requirement 52 / 61 could be adde...;type:AT,sev:Minor,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Maybe a test for requirement 52 / 61 could be added by testing that for each feature type there is exactly one //wfs:FeatureType/wfs:MetadataURL and all values must be identical.
However, the TG does not seem to require this, so this would require a TG update first.
# Proposed Change
-";emidiostani
README.md;type:ED,sev:minor,ms:NL,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
A typo: the section TG Requirement Coverage contains (in the first line) a link to [TG VS] which should refer to [TG DL].
# Proposed Change
Change link to TG DL";emidiostani
README.md;type:ED,sev:minor,ms:NL,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
A typo: the section TG Requirement Coverage contains (in the first line) a link to [TG VS] which should refer to [TG DL].
# Proposed Change
Change link to TG DL";emidiostani
Numbering of test cases jumps from A.04 to A.06...;type:ED,sev:Minor,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Numbering of test cases jumps from A.04 to A.06
# Proposed Change
Update numbering of test cases";emidiostani
Consider if the prerequisites should be mentioned ...;type:GE,sev:minor,ms:DE,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Consider if the prerequisites should be mentioned in each test since they have to be tested anyway.
# Proposed Change
Remove the references to the OGC test or add them also to the other ATS (e.g. WMS, WMTS). In any case, do it in the same way for all ATS.";emidiostani
A.02.IR2.IR4.TGR49.TGR50.TGR51.predefinedStoredQuery;type:CT,sev:Critical,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
'For each combination of supported CRS, supported language, SpatialDataSetIdentifier ID code and SpatialDataSetIdentifier Namespace'
The mechanism to determine the 'supported CRS' is problematic as the CRS information may differ from feature type to feature type. It is unclear in how far that is an issue in practice, but a conformant service may specify different CRSs per feature type.
# Proposed Change
See comment. As the TG is unclear, the requirement should be clarified in the TG first.";emidiostani
A.02.IR2.IR4.TGR49.TGR50.TGR51.predefinedStoredQuery;type:,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The Test Method description contains a subtle bug which generates too many permutations since SpatialDataSetIdentifier ID code and SpatialDataSetIdentifier Namespace shall be considered as a whole:
'For each combination of supported CRS, supported language, SpatialDataSetIdentifier ID code and SpatialDataSetIdentifier Namespace: perform a GetFeature request'

In addition, it does not really consider that a dataset could have multiple unique resource identifiers.

";emidiostani
A.02.IR2.IR4.TGR49.TGR50.TGR51.predefinedStoredQuery;type:,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The Test Method description contains a subtle bug which generates too many permutations since SpatialDataSetIdentifier ID code and SpatialDataSetIdentifier Namespace shall be considered as a whole:
'For each combination of supported CRS, supported language, SpatialDataSetIdentifier ID code and SpatialDataSetIdentifier Namespace: perform a GetFeature request'

In addition, it does not really consider that a dataset could have multiple unique resource identifiers.

";emidiostani
A.03.IR221.TGR53.serviceMetadata;type:CT,sev:Medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The test method is not consistent with the purpose. The test method checks that both all metadata elements are in the extended capabilities and that there is a MetadataURL pointing to a valid Metadata document.
# Proposed Change
Change test method to express the 'EITHER ... OR'.
";emidiostani
A.03.IR221.TGR53.serviceMetadata;type:CT,sev:Medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
'valid Metadata document' is most likely understood to mean 'schema valid'. If something else is meant, which is likely as schema validity does not make the metadata document conformant with the service metadata requirements, the test should be clarified.
# Proposed Change
Clarify meaning of 'valid'.";emidiostani
A.03.IR221.TGR53.serviceMetadata;type:CT,sev:Minor,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Note also that the TG seems to be incorrect and the reference to table 4 should be to table 19.
# Proposed Change
Update the TG to reference table 19, not table 4.";emidiostani
A.03.IR221.TGR53.serviceMetadata;type:ED,sev:minor,ms:NL,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
From the test method it is not clear how to validate the metadata document for being valid. Needs more clarification.
# Proposed Change
Specify how metadata validation must be done. For example: validate the metadata document to the XML schema.";emidiostani
A.03.IR221.TGR53.serviceMetadata;type:ED,sev:minor,ms:NL,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
From the test method it is not clear how to validate the metadata document for being valid. Needs more clarification.
# Proposed Change
Specify how metadata validation must be done. For example: validate the metadata document to the XML schema.";emidiostani
A.03.IR221.TGR53.serviceMetadata (page 8);type:CT,sev:Medium,ms:SE,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
In the Purpose you can choose between EITHER metadata to be linked to via an inspire_common:MetadataURL OR put all metadata element in ExtendedCapabilities.
In the test, it says to test all metadata elements in ExtendedCapabilities irrespective of inspire_common:MetadataURL is there.
# Proposed Change
To conform with the purpose of the test, change position of the two last check points, 

- If a inspire_common:MetadataURL is provided, request the Metadata document with this URL. Check if the response is a valid Metadata document.
- Else, check if all mandatory metadata elements as specified in Table 4 of the TG exist in the ExtendedCapabilities section.

Also clarify how to validate the Metadata document in the first check above; the schema to be used and/or that it should conform with Table 4.";emidiostani
A.03.IR221.TGR53.serviceMetadata (page 8);type:CT,sev:Medium,ms:SE,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
In the Purpose you can choose between EITHER metadata to be linked to via an inspire_common:MetadataURL OR put all metadata element in ExtendedCapabilities.
In the test, it says to test all metadata elements in ExtendedCapabilities irrespective of inspire_common:MetadataURL is there.
# Proposed Change
To conform with the purpose of the test, change position of the two last check points, 

- If a inspire_common:MetadataURL is provided, request the Metadata document with this URL. Check if the response is a valid Metadata document.
- Else, check if all mandatory metadata elements as specified in Table 4 of the TG exist in the ExtendedCapabilities section.

Also clarify how to validate the Metadata document in the first check above; the schema to be used and/or that it should conform with Table 4.";emidiostani
A.04 and the following;type:ED,sev:minor,ms:DE,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Prerequisites: A.01 already contains the both mentioned OGC WFS tests.
# Proposed Change
Remove the redundant test cases.";emidiostani
A.04.TGR55.TGR56.language.affects.capabilities;type:CT,sev:Critical,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
'If the returned resource can be parsed as a valid XML document and if the document passes all the tests listed as prerequisites for this test'
Why do the tests need to be executed again, if they have been tested before ('prerequisites')?
The test cases and conformance classes in 'prerequisites' have a WFS 2.0.0 as the test object, while this statement is worded as if these would be test cases and conformance classes on a Capabilities document.
# Proposed Change
Either drop the prerequisites and explicitly state the steps/assertions or omit the sentence.";emidiostani
A.04.TGR55.TGR56.language.affects.capabilities;type:CT,sev:Medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
VERSION is not a parameter of the GetCapabilities request.
# Proposed Change
Change to ACCEPTVERSIONS.";emidiostani
Maybe a test for requirement 52 / 61 could be adde...;type:AT,sev:Minor,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Maybe a test for requirement 52 / 61 could be added by testing that for each feature type there is exactly one //wfs:FeatureType/wfs:MetadataURL and all values must be identical.
However, the TG does not seem to require this, so this would require a TG update first.
# Proposed Change
-";emidiostani
It contains no tests....;type:GE,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
It contains no tests.
";emidiostani
It contains no tests....;type:GE,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
It contains no tests.
";emidiostani
A.1.5;type:ed,sev:Medium,ms:DK,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
In the note there is some part does not really make sense i.e. 'The list of codes in the Technical Guidelines for INSPIRE metadata and Technical Guidance for INSPIRE Discovery Services does not comply with each. The Technical Guidance for INSPIRE Discovery Services also provides codes for the EFTA countries while Technical Guidelines for INSPIRE metadata provides codes only for the EU Member States' to be even more specific what does not comply with each (see the word in bold)
# Proposed Change
Since we do not understand the note we cannot provide any proposed change.";emidiostani
A.1.5;type:ed,sev:Medium,ms:DK,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
In note 1one cannot help thinking it might be a good idea to get the two documents in question synchronized
# Proposed Change
Synchronize the two documents.";emidiostani
A.1.6;type:ed,sev:Medium,ms:DK,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The purpose and the test method are word to word identical, except for the very first word. So it is difficult to see how this method can be implemented. This comment is also valid for several other tests described in this document. 
# Proposed Change
Describe the test method better and more in detail.";emidiostani
A.2.4;type:ed,sev:Medium,ms:DK,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
In the purpose the word 'properly' is used. This is a vague word to use in the purpose of a test. The next question is then what is meant with 'properly'.
# Proposed Change
Tighten up the purpose.";emidiostani
A.2.5;type:ed,sev:Minor,ms:DK,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Why is the note included here? – It seems more like an comment received earlier on.
# Proposed Change
Remove the note.";emidiostani
A.2.8;type:ed,sev:Medium,ms:DK,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
When reading A.1.4 and A.1.5 this test seems to be covered.
# Proposed Change
Delete the test.";emidiostani
A.3.1;type:ed,sev:Critical,ms:DK,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
In the notes it is stated that there is some mismatch between the legal documents and the guidance document. This must be sorted out before handling the tests
# Proposed Change
Sort out the mismatch between the documents and then reconsider this test.";emidiostani
A.3.3;type:ed,sev:Medium,ms:DK,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The question is what is the difference between this test and A.3.2?
";emidiostani
A.3.7;type:ed,sev:Minor,ms:DK,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Where can the tables referred to in the Purpose and the Notes can be found? 
";emidiostani
A.3.8;type:ed,sev:Minor,ms:DK,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
In the clause 'Prerequisites' there is a question. One answer to that question could be how about all the tests that has something to do with language,
";emidiostani
A.6.1;type:ge,sev:Critical,ms:DK,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
There will be a strong need for developing some standard test to examine if the purpose is fulfilled. 
";emidiostani
A.04.IR16.IR17.link.to.get.harmonised.service.metadata;type:,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The Prerequisite does not make sense because:
- it puts a condition on the metadata document that will be fetched during the test.The condition it describes should be moved to the Test Method.
-it assumes that what comes back is an ISO 19139 document while it could be a Capabilities document.
The 'equivalent' for Network Services is the Get Network Service Metadata Response document which is often an OGC Capabilities document.


";emidiostani
A.04.IR16.IR17.link.to.get.harmonised.service.metadata;type:,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The Prerequisite does not make sense because:
- it puts a condition on the metadata document that will be fetched during the test.The condition it describes should be moved to the Test Method.
-it assumes that what comes back is an ISO 19139 document while it could be a Capabilities document.
The 'equivalent' for Network Services is the Get Network Service Metadata Response document which is often an OGC Capabilities document.


";emidiostani
The Prerequisites section of each test contains a ...;type:GE,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The Prerequisites section of each test contains a verbose requirement validity against xml schema.
Since the xml schema is now the standard ISO 19139, it should simply reference the ats-metadata requirement.
";emidiostani
The Prerequisites section of each test contains a ...;type:GE,sev:,ms:JRC,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The Prerequisites section of each test contains a verbose requirement validity against xml schema.
Since the xml schema is now the standard ISO 19139, it should simply reference the ats-metadata requirement.
";emidiostani
This ATS clearly needs more work. In general, the ...;type:GE,sev:critical,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
This ATS clearly needs more work. In general, the tests are not implementable as they are.
Only IR references are provided. All tests should be against requirements stated in a TG.
";emidiostani
"All regulations on ""Metadata for interoperability""...";type:GE,sev:minor,ms:DE,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
All regulations on ""Metadata for interoperability"" (see following issues) aim at datasets and series and only when applying to IR 1089/2010.
How to define that? Conformity statement citing IR 1089/2010 with pass= TRUE?
Or are these regulations relevant for all INSPIRE metadata regardless the level of fulfilling IR 1089/2010?
";emidiostani
A.01.IR13.1.crs;type:ED,type:,sev:minor,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Ambiguity: the hyperlink of 'RS_Identifier 'does not point to the right source  
In addition 'It is suggested ...' or ""the test can grab ...' is not an unambiguous description of a test.
Testability: Also, it is unclear how to 'validate the coordinate reference system against the advertised system'?
The data specifications provide http URIs for all default CRSs. Is this relevant for this test (note that http://www.opengis.net/def/crs/EPSG/0/4326 is not one of them)?
";emidiostani
A.01.IR13.1.crs;type:CR,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Testability: The identifier should be checked against a code list of identifiers present in common registry (see inspire Data specification template V3.0rc3) but no official registry list is presented.
";emidiostani
A.02.IR13.2.trs;type:CR,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Testability: there is no code list for temporal reference systems mandated by INSPIRE.
# Proposed Change
See also MIWP-8 issue 2323.";emidiostani
A.03.IR13.3.enc;type:ED,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Ambiguity: 'the format may be deduced' is too generic expression, it should either explicit or express with a code a list.
# Proposed Change
Update the INSPIRE data specifications template (Section 8.2.3) and refer to the INSPIRE media type register (See MIWP-8 issue 2324). Update the test case accordingly.";emidiostani
A.04.IR13.4.topo;type:CT,type:CR,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
It is not clear from the TG how topological consistency is encoded.
It is not clear from the test case how it can be tested.
";emidiostani
A.04.IR13.4.topo;type:CT,type:CR,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Testability: As indicated, it is not clear how to ascertain whether 'the data set includes types from the Generic Network Model and does not assure centreline topology (connectivity of centrelines) for the network.'
";emidiostani
A.05.IR13.5.char.enc;type:CT,type:CR,sev:medium,ms:ARENA,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Testability: The test should clarify that this only works if the resource can be retrieved online and is a textual resource.  
Ambiguity: The test should clarify for each possible resource how the character encoding of a resource can be verified. If the character encoding is not included in the retrieved resource, no claim can be made about the used character encoding. For example, in XML, the character encoding prolog is not mandatory (i.e. <?xml encoding='UTF-8'?>).
";emidiostani
A.1 Coordinate Reference System;type:GE,sev:medium,ms:DE,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Coordinate Reference System is one of the mandatory elements in ""Metadata for interoperability"" for datasets and series.
# Proposed Change
There should be at least a test on pure existence for datasets and series if the resource is already in focus of IR 1089/2010.";emidiostani
A.1 Coordinate Reference System;type:ED,sev:medium,ms:DE,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The test purpose is to evaluate the RS_Identifier and not the description of the CRS.
# Proposed Change
Test purpose should be changed in order to reflect what is actually tested, e.g. 'Qualified URL in the given RS_Identifier'.";emidiostani
A.1 Coordinate Reference System;type:CT,sev:medium,ms:DE,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
It is not clear how a grabed CRS can be validated against the advertised system. Additionally, this is not covered by the test purpose which only check the existence of a qualified URL.
# Proposed Change
Remove this sentence.";emidiostani
A.1 Coordinate Reference System;type:AT,sev:medium,ms:NL,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The test described can be required if another test is added; the conformity of the dataset ,if true then the described test is required, because the CRS is a requirement in IR SDSS
# Proposed Change
Add a test to check if the dataset is harmonised.
Require  the described test if the dataset is harmonised";emidiostani
A.1 Coordinate Reference System;type:GE,sev:medium,ms:NL,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Please make this test conform with the proposed implementation in the new TG MD
";emidiostani
A.1 Coordinate Reference System;type:AT,sev:medium,ms:NL,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
The test described can be required if another test is added; the conformity of the dataset ,if true then the described test is required, because the CRS is a requirement in IR SDSS
# Proposed Change
Add a test to check if the dataset is harmonised.
Require  the described test if the dataset is harmonised";emidiostani
A.1 Coordinate Reference System;type:GE,sev:medium,ms:NL,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Please make this test conform with the proposed implementation in the new TG MD
";emidiostani
A.2, A.3...;type:ED,sev:minor,ms:DE,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Use 'ISO' for ISO standards, not 'iso'.
# Proposed Change
Change.";emidiostani
A.3 Encoding;type:GE,sev:medium,ms:DE,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Encoding is one of the mandatory elements in ""Metadata for interoperability"" for datasets and series.
# Proposed Change
There should be at least a test on pure existence for datasets and series if the resource is already in focus of IR 1089/2010.";emidiostani
A.4 Topological Consistency;type:GE,sev:medium,ms:DE,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Not the correctness is tested as written in the purpose, but the existence of a topological consistence metadata element.
# Proposed Change
Correct the purpose.";emidiostani
A.5 Character Encoding;type:GE,sev:medium,ms:DE,status:confirmed;"*This issue has been extracted from the issue list on:https://ies-svn.jrc.ec.europa.eu/issues/2685*
# Comment
Character Encoding is one of the mandatory elements in ""Metadata for interoperability"" for datasets and series.
# Proposed Change
There should be at least a test on pure existence for datasets and series if the resource is already in focus of IR 1089/2010.";emidiostani
